2019-10-31 22:22:35{"deviceid": "10009bc4f0", "data": {"startup": "on"}}
2019-11-01 00:06:22{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-11-01 00:06:22{"seq":4,"error":0}
2019-11-01 00:06:23{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 00:06:23{"seq":5,"error":0}
2019-11-01 00:06:47{"deviceid": "10009bc4f0", "data": {"startup": "on"}}
2019-11-01 00:06:47{"seq":6,"error":0}
2019-11-01 00:06:48{"deviceid": "10009bc4f0", "data": {"startup": "off"}}
2019-11-01 00:06:48{"seq":7,"error":0}
2019-11-01 00:06:51{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 00:06:51{"seq":8,"error":0}
2019-11-01 00:06:51{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-11-01 00:06:51{"seq":9,"error":0}
2019-11-01 00:06:52{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 00:06:52{"seq":10,"error":0}
2019-11-01 00:06:56{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-11-01 00:06:56{"seq":11,"error":0}
2019-11-01 00:06:57{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 00:06:58{"seq":12,"error":0}
2019-11-01 00:07:51{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-11-01 00:07:51{"seq":13,"error":0}
2019-11-01 00:07:51{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 00:07:52{"seq":14,"error":0}
2019-11-01 00:22:42{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-11-01 00:22:42{"seq":2,"error":0}
2019-11-01 00:22:44{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-11-01 00:22:44{"seq":3,"error":0}
2019-11-01 00:42:19{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-11-01 00:42:19{"seq":2,"error":0}
2019-11-01 00:42:20{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-11-01 00:42:20{"seq":3,"error":0}
2019-11-01 00:54:50{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-11-01 00:54:50{"seq":5,"error":0}
2019-11-01 00:54:51{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-11-01 00:54:51{"seq":6,"error":0}
2019-11-01 00:54:52{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-11-01 00:54:52{"seq":7,"error":0}
2019-11-01 00:54:53{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-11-01 00:54:53{"seq":8,"error":0}
2019-11-01 00:55:45{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-11-01 00:55:46{"seq":2,"error":0}
2019-11-01 00:55:47{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 00:55:48{"seq":3,"error":0}
2019-11-01 00:57:17{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-11-01 00:57:17{"seq":4,"error":0}
2019-11-01 00:57:19{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 00:57:19{"seq":5,"error":0}
2019-11-01 00:57:42{"deviceid": "10009bc4f0", "data": {}}
2019-11-01 00:57:44{"seq":6,"error":0}
2019-11-01 00:57:44{"deviceid": "10009bc4f0", "data": {"downloadUrl": "http://192.168.43.61:776/i/itead.bin", "sha256sum": "d12c8fb96b4cce4d570124488ebf874922fb2c2412d1001f37f01b9e1b580435"}}
2019-11-01 00:57:44{"seq":7,"error":0}
2019-11-01 01:06:18{"deviceid": "10009bc4f0", "data": {"ssid": "VM174518-2G", "password": "hgnwyxty"}}
2019-11-01 01:06:42{"deviceid": "10009bc4f0", "data": {}}
2019-11-01 01:08:54{"deviceid": "10009bc4f0", "data": {}}
2019-11-01 01:33:59{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-11-01 01:34:00{"seq":2,"error":0}
2019-11-01 01:34:01{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 01:34:01{"seq":3,"error":0}
2019-11-01 01:34:01{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-11-01 01:34:01{"seq":2,"error":0}
2019-11-01 01:34:02{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-11-01 01:34:02{"seq":3,"error":0}
2019-11-01 01:42:24{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-11-01 01:42:24{"seq":4,"error":0}
2019-11-01 01:42:25{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-11-01 01:42:25{"seq":4,"error":0}
2019-11-01 01:42:26{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 01:42:26{"seq":5,"error":0}
2019-11-01 01:42:27{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-11-01 01:42:27{"seq":5,"error":0}
2019-11-01 01:42:27{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-11-01 01:42:27{"seq":6,"error":0}
2019-11-01 01:53:10{"deviceid": "10009bc4f0", "data": {"ssid": "VM174518-2G", "password": "hgnwyxty"}}
2019-11-01 01:53:11{"seq":6,"error":0}
2019-11-01 01:53:11{"deviceid": "100090a630", "data": {"ssid": "VM174518-2G", "password": "hgnwyxty"}}
2019-11-01 01:53:11{"seq":7,"error":0}
2019-11-01 02:03:13{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-11-01 02:03:13{"seq":2,"error":0}
2019-11-01 02:03:14{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-11-01 02:03:14{"seq":2,"error":0}
2019-11-01 02:03:15{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 02:03:15{"seq":3,"error":0}
2019-11-01 02:03:16{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-11-01 02:03:16{"seq":3,"error":0}
2019-11-01 02:03:19{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-11-01 02:03:19{"seq":4,"error":0}
2019-11-01 02:03:20{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-11-01 02:03:20{"seq":5,"error":0}
2019-11-01 02:03:53{"deviceid": "10009bc4f0", "data": {}}
2019-11-01 02:03:54{"seq":4,"error":0}
2019-11-01 02:03:54{"deviceid": "10009bc4f0", "data": {"downloadUrl": "http://192.168.0.4:776/i/itead.bin", "sha256sum": "d12c8fb96b4cce4d570124488ebf874922fb2c2412d1001f37f01b9e1b580435"}}
2019-11-01 02:03:54{"seq":5,"error":0}
2019-11-01 02:04:50{"deviceid": "100090a630", "data": {}}
2019-11-01 02:04:50{"seq":6,"error":0}
2019-11-01 02:04:50{"deviceid": "100090a630", "data": {"downloadUrl": "http://192.168.0.4:776/i/itead.bin", "sha256sum": "d12c8fb96b4cce4d570124488ebf874922fb2c2412d1001f37f01b9e1b580435"}}
2019-11-01 02:04:50{"seq":7,"error":0}
